sample_id,unit,start_year,year,width,missing
SITE_A01,mm,1901,,1.741,0
,,,,1.769,0
,,,,1.697,0
,,,,1.577,0
,,,,1.173,0
,,,,1.579,0
,,,,1.511,0
,,,,1.573,0
,,,,1.553,0
,,,,0.987,0
,,,,1.446,0
,,,,1.606,0
,,,,1.469,0
,,,,0.98,0
,,,,1.293,0
,,,,1.218,0
,,,,1.257,0
,,,,1.281,0
,,,,1.003,0
,,,,1.678,0
,,,,1.416,0
,,,,1.455,0
,,,,1.473,0
,,,,1.373,0
,,,,1.432,0
,,,,1.35,0
,,,,1.569,0
,,,,1.545,0
,,,,1.555,0
,,,,1.402,0
,,,,1.329,0
,,,,1.191,0
,,,,1.104,0
,,,,1.421,0
,,,,1.474,0
,,,,1.33,0
,,,,1.167,0
,,,,1.453,0
,,,,1.232,0
,,,,1.116,0
,,,,1.042,0
,,,,1.37,0
,,,,1.529,0
,,,,1.572,0
,,,,1.483,0
,,,,1.633,0
,,,,0.876,0
,,,,0.994,0
,,,,1.218,0
,,,,1.204,0
,,,,1.366,0
,,,,1.47,0
,,,,1.315,0
,,,,1.343,0
,,,,1.703,0
,,,,1.27,0
,,,,1.432,0
,,,,1.481,0
,,,,1.173,0
,,,,1.274,0
,,,,1.354,0
,,,,1.383,0
,,,,1.552,0
,,,,1.246,0
,,,,1.608,0
,,,,1.464,0
,,,,0.98,0
,,,,1.239,0
,,,,1.256,0
,,,,0.885,0
,,,,0.85,0
,,,,0.914,0
,,,,1.198,0
,,,,1.333,0
,,,,1.287,0
,,,,0.742,0
,,,,0.856,0
,,,,0.711,0
,,,,0.708,0
,,,,0.713,0
,,,,1.017,0
,,,,1.224,0
,,,,1.424,0
,,,,1.254,0
,,,,1.445,0
,,,,1.235,0
,,,,1.436,0
,,,,1.361,0
,,,,1.106,0
,,,,1.057,0
,,,,1.252,0
,,,,1.131,0
,,,,1.279,0
,,,,1.374,0
,,,,1.399,0
,,,,1.262,0
,,,,1.27,0
,,,,1.451,0
,,,,1.344,0
,,,,1.781,0
,,,,1.286,0
,,,,0.31,0
,,,,1.144,0
,,,,1.295,0
,,,,1.252,0
,,,,1.413,0
,,,,1.223,0
,,,,1.589,0
,,,,1.376,0
,,,,1.362,0
,,,,0.926,0
,,,,0.878,0
,,,,1.249,0
,,,,1.309,0
,,,,1.359,0
,,,,1.185,0
,,,,1.206,0
,,,,1.101,0
SITE_A02,mm,1905,,1.844,0
,,,,2.436,0
,,,,2.344,0
,,,,2.551,0
,,,,2.798,0
,,,,1.658,0
,,,,2.469,0
,,,,2.388,0
,,,,2.402,0
,,,,1.638,0
,,,,1.934,0
,,,,2.015,0
,,,,2.038,0
,,,,2.396,0
,,,,1.528,0
,,,,2.582,0
,,,,2.175,0
,,,,2.069,0
,,,,2.278,0
,,,,2.22,0
,,,,2.107,0
,,,,1.966,0
